Woche,Geschäftsnr,Betreff,Ergebnis,Konfidenz,PDF
02.09.2026,SB250291,"mehrfache Pornografie Urteil des Bezirksgerichtes Zürich, 10. Abteilung - Einzel",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250291-O1.pdf
02.09.2026,FV260009,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FV260009-L2.pdf
02.09.2026,FO250002,negative Feststellungsklage Art. 85a SchKG,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FO250002-K6.pdf
02.09.2026,AG240003,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/AG240003-L10.pdf
02.09.2026,EE230065,Eheschutz/Getrenntleben,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/EE230065-L20.pdf
02.09.2026,CP220005,Erbteilung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/CP220005-L11.pdf
02.09.2026,GG250062,Vergehen gegen das BetmG,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/GG250062-L1.pdf
02.09.2026,FV240104,Erbteilungsklage,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FV240104-L3.pdf
02.09.2026,FV200164,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FV200164-L3.pdf
26.08.2026,NE230005,Widerspruchsklage Berufung gegen ein Urteil des Einzelgerichts für SchKG-Klagen ,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/NE230005-O13.pdf
26.08.2026,AH250141,Zeugnisänderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/AH250141-L1.pdf
26.08.2026,FV250047,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FV250047-G3.pdf
26.08.2026,HG240067,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/HG240067-O11.pdf
26.08.2026,FK240030,Unterhalt etc.,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FK240030-I5.pdf
26.08.2026,AH250112,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/AH250112-L4.pdf
26.08.2026,AH250028,Forderung Arbeitsrecht,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/AH250028-M2.pdf
26.08.2026,GC250010,Einsprache gegen Strafbefehl (Parkieren auf einer Strassenverzweigung bis 60 Min,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/GC250010-I3.pdf
26.08.2026,GG250012,Betrug (Covid-19) etc. Privatklägerin B._____ vertreten durch Rechtsanwalt Dr. i,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/GG250012-M3.pdf
26.08.2026,DG250014,"Vergewaltigung etc. Privatklägerin B._____, vertreten durch Rechtsanwältin lic. ",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/DG250014-K7.pdf
26.08.2026,MJ240014,Ausweisung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/MJ240014-M2.pdf
26.08.2026,GC250008,Festhalten am Strafbefehl im Sinne von Art. 355 Abs. 3 lit. a StPO,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/GC250008-M3.pdf
26.08.2026,AH250002,Forderung/Zeugnisänderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/AH250002-L1.pdf
26.08.2026,FP230008,Abänderung Scheidungsurteil,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FP230008-H6.pdf
26.08.2026,FG230018,Auflösung der eingetragenen Partnerschaft,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FG230018-L14.pdf
26.08.2026,GG250043,"Raub Privatkläger B._____,",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/GG250043-L1.pdf
